$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
1000094,Gem_Select_Box_Color,使用すると、以下の1レベルのジェムの一つを選択して獲得できます。{nl} {nl} - レッドジェム{nl} - ブルージェム{nl} - グリーンジェム{nl} - イエロージェム{nl} - ホワイトジェム,icon_item_happybox_black,None,None,None,None,None,None,None,None,カラージェム選択ボックス,0,0.0,0.0,FFFT,6,0.0
2500104,GEM_BOX_Fencer,右クリックで使用すると、以下のアイテムの中で一つを選択して獲得できます。{nl} - セプトエトワールジェム1個{nl} - アタックコンポーゼジェム1個{nl} - エスキーヴタッチジェム1個{nl} - バレストラフェンテジェム1個{nl} - フレーシュジェム1個,icon_item_luckybox_gold,None,None,None,None,None,None,None,None,スキルジェム選択ボックス：フェンサー,0,0.0,0.0,FFFT,6,1.0
2500105,GLOBAL_TWN_Yellow_Watermelon_Box,右クリックで使用すると、以下のアイテムの中で一つを選択して獲得できます。{nl} - [イベント]黄色のスイカタンクトップ(男){nl} - [イベント]黄色のスイカワンピース(女),icon_item_luckybox_gold,None,None,None,None,None,None,None,None,黄色のスイカコスチューム選択ボックス,0,0.0,0.0,FFFT,6,1.0
2500132,GEM_BOX_Murmillo,使用時、以下のアイテムの中から選択した1つを獲得できます。{nl} - フレンジードバーストジェム1個{nl} - バタフライジェム1個{nl} - ヘッドバットジェム1個{nl} - スキュータムヒットジェム1個{nl} - シールドトレインジェム1個,icon_item_luckybox_gold,None,None,None,None,None,None,None,None,スキルジェム選択ボックス：ムルミロ,0,0.0,0.0,FFFT,6,1.0
2500159,GEM_BOX_Musketeer,使用時、以下のアイテムの中から選択した1つを獲得できます。{nl} - カバーリングファイアジェム 1個{nl} - ヘッドショットジェム 1個{nl} - ペネトレーションショットジェム 1個{nl} - ヴォレーファイアジェム 1個{nl} - スナイプジェム 1個,icon_item_luckybox_orange,None,None,None,None,None,None,None,None,スキルジェム選択ボックス：マスケティア,0,0.0,0.0,FFFT,6,1.0
2500171,GEM_BOX_Doppelsoeldner,使用時、以下のアイテムの中から選択した1つを獲得できます。{nl} - パニッシュジェム 1個{nl} - ディーズオブヴァロージェム 1個{nl} - ツォルンハウジェム 1個{nl} - ツーケンジェム 1個{nl} - レーデルジェム 1個{nl} - スーツルーツハウジェム 1個{nl} - ズバークハウジェム 1個{nl} - サイクロンジェム 1個,icon_item_luckybox_gold,None,None,None,None,None,None,None,None,スキルジェム選択ボックス：ドッペルゾルドナー,0,0.0,0.0,FFFT,6,1.0
640403,Ghaca_PC_Rabdom,ランダムに報酬を獲得します。マウス右クリックで使用できます。{nl}報酬リスト{nl}- 経験の書 x1{nl} - インスタンスダンジョン倍数トークン x2{nl}- メガホン x1{nl}- 魔法付与スクロール(取引不可) x1{nl}- ワープスクロール x8{nl}- ソウルクリスタル x4{nl}- 緊急修理キット x3,icon_item_random_cashbox,None,None,None,None,None,None,None,None,[POPOショップ]TPアイテムランダムボックス,0,0.0,0.0,FFFT,6,5.0
640404,Ghaca_PC_Misc,右クリックで使用することができます。使用すると次のアイテムの内一つを確率で獲得します。{nl} - プラクトニウム1個{nl} - シエラパウダー50個{nl} - シエラパウダー23個{nl} - ペルトレミン5個{nl} - ウルスターマイト5個{nl} - フィデシウム10個{nl} - テラニウム15個{nl} - ミスリル15個{nl} - ミスリル10個,icon_item_pc_miscbox,None,None,None,None,None,None,None,None,[POPOショップ]鉱物ボックス,0,0.0,0.0,FFFT,6,5.0
640407,Ghaca_PC_Discount_Ticket,ランダムに報酬を獲得します。マウス右クリックで使用できます。{nl}報酬リスト{nl} - [POPOショップ]染色1回50%割引券{nl} - [POPOショップ]染色1回無料利用券{nl} - [POPOショップ]ヘア1回50%割引券{nl} - [POPOショップ]ヘア1回無料利用券,icon_item_random_cashbox,None,None,None,None,None,None,None,None,[POPOショップ]ビューティショップ割引クーポンボックス,0,0.0,0.0,FFFT,6,5.0
640408,Ghaca_PC_Event_Csoume01,右クリックで使用すると、ブラックメイドコスチューム(女) / ブラックバトラーコスチューム(男)のうち、一つを獲得できます。,icon_item_box_pc_basic_pp,None,None,None,None,None,None,None,None,[POPOショップ]バトラー＆メイドコスチューム選択ボックス,0,0.0,0.0,FFFF,6,5.0
