$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
201001,ColorSpray_1,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 검정,11,1.0,0.0,1111,6,1.0
201002,ColorSpray_2,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 빨강,11,1.0,0.0,1111,6,1.0
201003,ColorSpray_3,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 하얀,11,1.0,0.0,1111,6,1.0
201004,ColorSpray_4,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 주황,11,1.0,0.0,1111,6,1.0
201005,ColorSpray_5,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 노랑,11,1.0,0.0,1111,6,1.0
201006,ColorSpray_6,아이템을 조합하여 다른 아이템 제작,icon_item_small_bag,,,,,,스프레이 - 초록,11,1.0,0.0,1111,6,1.0
300000,misc_collect_gimk_001,세이지 마스터가 준 붉은색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_007,[642213],,,,,세이지 마스터의 붉은색 책갈피,1,0.0,0.0,0001,15,1.0
300001,misc_collect_gimk_002,세이지 마스터가 준 주황색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_006,[642213],,,,,세이지 마스터의 주황색 책갈피,1,0.0,0.0,0001,15,1.0
300002,misc_collect_gimk_003,세이지 마스터가 준 노란색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_001,[642213],,,,,세이지 마스터의 노란색 책갈피,1,0.0,0.0,0001,15,1.0
300003,misc_collect_gimk_004,세이지 마스터가 준 초록색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_002,[642213],,,,,세이지 마스터의 초록색 책갈피,1,0.0,0.0,0001,15,1.0
300004,misc_collect_gimk_005,세이지 마스터가 준 푸른색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_003,[642213],,,,,세이지 마스터의 푸른색 책갈피,1,0.0,0.0,0001,15,1.0
300005,misc_collect_gimk_006,세이지 마스터가 준 감청색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_004,[642213],,,,,세이지 마스터의 감청색 책갈피,1,0.0,0.0,0001,15,1.0
300006,misc_collect_gimk_007,세이지 마스터가 준 보라색 책갈피입니다. 신기한 기운이 미약하게 느껴집니다. 컬렉션 전용 아이템입니다.,icon_item_misc_collect_gimk_005,[642213],,,,,세이지 마스터의 보라색 책갈피,1,0.0,0.0,0001,15,1.0
300007,misc_collect_gimk_008,빛나는 은색의 광물 조각입니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,13_item_mythril,[642214],,,,,작은 미스릴 광석 조각,1,0.0,0.0,0001,15,1.0
300008,misc_collect_gimk_009,건국 초기에는 여신의 점지를 받지 않으면 캘 수 없는 귀한 보석이었습니다. 현재는 그렇게 채굴이 어렵지는 않습니다. 크기가 작아 상자에 보관하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,9_item_ore_orichalcon,[642214],,,,,작은 이실딘 광석 조각,1,0.0,0.0,0001,15,1.0
300009,misc_collect_gimk_010,푸른 빛을 띄는 광석입니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,5_item_ore_fluorite,[642214],,,,,작은 피데슘 조각,1,0.0,0.0,0001,15,1.0
300010,misc_collect_gimk_011,여러가지 색상을 발하는 보석입니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,25_item_ore_opal,[642214],,,,,작은 오팔 조각,1,0.0,0.0,0001,15,1.0
300011,misc_collect_gimk_012,루비와 같은 붉은 계통의 보석이지만 희소성은 떨어집니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,26_item_ore_garnet,[642214],,,,,작은 가넷 조각,1,0.0,0.0,0001,15,1.0
300012,misc_collect_gimk_013,불투명한 검은 빛의 보석입니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,27_item_ore_obsidian,[642214],,,,,작은 옵시디안 조각,1,0.0,0.0,0001,15,1.0
300013,misc_collect_gimk_014,녹색의 보석입니다. 악령으로부터 지켜준다는 전설이 있습니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,28_item_ore_peridot,[642214],,,,,작은 페리도트 조각,1,0.0,0.0,0001,15,1.0
300014,misc_collect_gimk_015,갈색 빛을 가진 보석입니다. 장비 제작에 쓰기엔 너무 작지만 상자에 소장하기에 알맞은 크기입니다. 컬렉션 전용 아이템입니다.,29_item_ore_zircon,[642214],,,,,작은 지르콘 조각,1,0.0,0.0,0001,15,1.0
300015,misc_collect_gimk_016,대길이가 준 흔한 잡초입니다. 입으로 뜯었는지 이빨 자국들이 여기저기에 보입니다. 컬렉션 전용 아이템입니다.,icon_item_grassbladeg,[642215],,,,,뜯어진 잡초,1,0.0,0.0,0001,15,1.0
300016,misc_collect_gimk_017,대길이가 준 나무 망치입니다. 사용됐던 것인지 여기저기에 사람이 이용한 흔적이 보입니다. 이런 걸 어디서 가져온 걸까요? 컬렉션 전용 아이템입니다.,icon_item_farm47_wood_hammer,[642215],,,,,누군가의 나무 망치,1,0.0,0.0,0001,15,1.0
300017,misc_collect_gimk_018,대길이가 물어온 작은 물고기입니다. 잡은 지 얼마 안됐는지 아직 팔딱팔딱 뛰고 있습니다. 대길이가 낚시해서 잡은 걸까요? 컬렉션 전용 아이템입니다.,icon_item_fish4,[642215],,,,,신선한 생선,1,0.0,0.0,0001,15,1.0
300018,misc_collect_gimk_019,대길이가 준 녹슨 나사입니다. 곳곳에 녹슨 흔적을 보아 대길이가 이걸 물고 있었다고 생각하니 걱정됩니다. 컬렉션 전용 아이템입니다.,icon_item_bolt,[642215],,,,,녹슨 나사,1,0.0,0.0,0001,15,1.0
300019,misc_collect_gimk_020,대길이가 준 덜익은 풋사과입니다. 풋사과라고 하기에도 덜 익어보여 먹기에는 좀 애매한 것 같습니다. 컬렉션 전용 아이템입니다.,icon_item_fruit_02green,[642215],,,,,덜 익은 사과,1,0.0,0.0,0001,15,1.0
300020,misc_collect_gimk_021,대길이가 준 나무 조각들입니다. 잘게잘게 쪼개져 있어서인지 대길이가 물어오기 편한 크기로 보입니다. 컬렉션 전용 아이템입니다.,icon_item_woodpiece,[642215],,,,,잘게 쪼개진 나무 조각들,1,0.0,0.0,0001,15,1.0
300021,misc_collect_gimk_022,대길이가 물어온 식칼입니다. 손질을 하지 않아 여기저기 흔적이 보입니다. 다음에 대길이이게 위험한 걸 물어오지 않도록 혼내야겠습니다. 컬렉션 전용 아이템입니다.,icon_item_knife01,[642215],,,,,이가 빠진 식칼,1,0.0,0.0,0001,15,1.0
350000,misc_collect_qst_001,큐폴 루길레가 준 차원 탐색 스크롤입니다. 이걸 이용하면 마족이 침공하는 차원의 틈새를 확인할 수 있습니다. 컬렉션 전용 아이템입니다.,golemmagicitem1,[642210],,,,,차원 탐색 스크롤,1,0.0,0.0,0001,15,1.0
350001,misc_collect_qst_002,차원의 일그러짐이 결정화된 파편입니다. 아름다운 빛깔로 빛나고 있습니다. 컬렉션 전용 아이템입니다.,icon_item_gem_stone_int,[642210],,,,,차원의 정수,1,0.0,0.0,0001,15,1.0
350002,misc_collect_qst_003,마족의 마력이 담긴 핵입니다. 큐폴 다누테는 이것과 차원의 정수를 이용해 수호의 수정 수호도구를 만들었습니다. 컬렉션 전용 아이템입니다.,icon_item_core_yellow,[642210],,,,,마족의 마력원,1,0.0,0.0,0001,15,1.0
350003,misc_collect_qst_004,푸른 빛을 띠고 있는 마력원입니다. 플리시드 붕괴장치를 충전하기 위해 사용됩니다. 컬렉션 전용 아이템입니다.,icon_item_gem_stone_int,[642210],,,,,거대 마력원,1,0.0,0.0,0001,15,1.0
350004,misc_collect_qst_005,캐러페이스가 떨어뜨렸던 빛나는 도구. 중앙에 박혀있는 구슬에는 영롱한 푸른 빛이 반짝이고 있습니다. 컬렉션 전용 아이템입니다.,icon_item_misc04_42,[642212],,,,,푸른 빛이 깃든 날개,1,0.0,0.0,0001,15,1.0
350005,misc_collect_qst_006,저항군에서 보급품으로 주는 성냥. 다양한 용도로 쓰이고 있습니다. 컬렉션 전용 아이템입니다.,icon_item_match,[642212],,,,,저항군 보급 성냥,1,0.0,0.0,0001,15,1.0
350006,misc_collect_qst_007,마족에게 박혀있었던 화살. 레오나르다스가 마족과 치열한 전투를 벌인 흔적입니다. 컬렉션 전용 아이템입니다.,item_icon_bodkinpoint_arrow,[642212],,,,,박혀있던 화살,1,0.0,0.0,0001,15,1.0
350007,misc_collect_qst_008,호수에서 자라난 릴리 벨리와 젤리 벨리에게서 나던 잎. 방금까지도 물을 머금은 듯 촉촉한 느낌이 살아있습니다. 컬렉션 전용 아이템입니다.,icon_item_leaves_blue,[642212],,,,,호수의 기운을 머금은 잎,1,0.0,0.0,0001,15,1.0
350008,misc_collect_qst_009,잘려진 채로 떨어져 있었지만 호수의 물을 먹고 있었는지 촉촉하며 신비한 기운이 감돌고 있습니다. 컬렉션 전용 아이템입니다.,icon_item_varnalesa,[642212],,,,,촉촉한 뿌리,1,0.0,0.0,0001,15,1.0
350009,misc_collect_qst_010,저항군의 부대원들에게 보급품으로 나눠준 물병. 오랜 시간동안 습기많은 곳에 있어 녹슨 흔적들을 보아 레오나르다스의 물건은 아닌 듯 합니다. 컬렉션 전용 아이템입니다.,icon_item_waterbottle,[642212],,,,,저항군 보급 물통,1,0.0,0.0,0001,15,1.0
490000,PremiumToken,"마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +50% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 +30칸 증가{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 무제한",icon_item_token,,,,,,토큰,0,0.0,0.0,1001,19,0.0
490001,PremiumToken_5m,토큰,icon_item_token,,,,,,토큰:5분,0,0.0,0.0,0000,19,0.0
490002,PremiumToken_10m,토큰,icon_item_token,,,,,,토큰:10분,0,0.0,0.0,0000,19,0.0
490003,PremiumToken_30m,토큰,icon_item_token,,,,,,토큰:30분,0,0.0,0.0,0000,19,0.0
490004,PremiumToken_1h,토큰,icon_item_token,,,,,,토큰:1시간,0,0.0,0.0,0000,19,0.0
490005,RestartCristal,전투 불능 시 소울 크리스탈을 사용하여 제자리에서 부활할 수 있습니다.,icon_item_soulcrystal,,,,"[9029, 9030]",,소울 크리스탈,0,0.0,0.0,0001,19,0.0
490006,Premium_WarpScroll,다른 여신상으로 이동할 수 있습니다. 현재 위치는 여신상에 기억됩니다.,icon_item_warppremium,,,,,,워프 주문서,0,0.0,0.0,0001,19,0.0
490007,Premium_tpBox_30,사용 시 30 TP를 획득합니다. ,icon_item_tpbox_30,,,,,,30 TP,0,0.0,0.0,0001,19,0.0
490008,Premium_tpBox_100,사용 시 100 TP를 획득합니다. ,icon_item_tpbox_100,,,,,,100 TP,0,0.0,0.0,0001,19,0.0
490009,Premium_tpBox_220,사용 시 200 TP를 획득합니다. ,icon_item_tpbox_220,,,,,,200 TP,0,0.0,0.0,0001,19,0.0
490010,Premium_tpBox_360,사용 시 300 TP를 획득합니다. ,icon_item_tpbox_360,,,,,,300 TP,0,0.0,0.0,0001,19,0.0
490011,PremiumToken_1d,"마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +50% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 +30칸 증가{nl} - 프리미엄 제스쳐 사용 가능",icon_item_token,,,,,,토큰:7일[증정용],0,0.0,0.0,0001,19,0.0
490012,Moru_Premium,"포텐셜이 0인 장비에만 사용가능 하며, 실패해도 장비가 파괴되지 않습니다. 실패시 강화수치가 1 감소하며, +12 강화 이상에서 실패 시 강화 수치가 +10 강화로 감소합니다. 마우스 오른쪽 클릭으로 사용합니다.",icon_item_anvil_gold,,,,,,황금 모루,0,0.0,0.0,0001,19,0.0
490013,Premium_awakeningStone,장비의 포텐셜을 감소시키지 않고 아이템 각성을 할 수 있게 도와줍니다.,icon_item_awakeningstone,,,,,,프리미엄 각성석,0,0.0,0.0,0001,19,0.0
490014,Mic_bundle50,사용 시 확성기 50개를 획득합니다. 마우스 우클릭으로 사용합니다.,icon_item_mike_bundle,,,,,,확성기 50개 상자,0,0.0,0.0,0001,19,0.0
490015,Premium_boostToken,"마우스 우클릭 시 사용되며 캐릭터에 1시간 동안 효과가 적용됩니다.{nl} - 캐릭터 접속 시에만 시간이 소진됩니다.{nl} - x4 경험의 서 제작 재료입니다. {nl}    제작서는 잡화 상인으로부터 구할 수 있습니다.{nl}[경험의 서 효과]{nl} - 몬스터 처치 시 획득 경험치 +30% 증가{nl}(PC방 혜택, 토큰 효과와 중첩 가능){nl}(경험치 카드 적용안됨){nl} - 스태미나 회복량 2배 증가",icon_item_boostertoken,,,,[9013],,경험의 서,0,0.0,0.0,0001,19,0.0
490016,RestartCristal_bundle10,사용 시 소울 크리스탈 10개를 획득합니다. 마우스 우클릭으로 사용합니다.,icon_item_soulcrystal_bundle,,,,,,소울 크리스탈 10개 상자,0,0.0,0.0,0001,19,0.0
490017,Premium_WarpScroll_bundle10,사용 시 워프 주문서 10개를 획득합니다. 마우스 우클릭으로 사용합니다.,icon_item_warppremium_bundle,,,,,,워프 주문서 10개 상자,0,0.0,0.0,0001,19,0.0
490018,PremiumToken_5d,"마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 5일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +50% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 +30칸 증가{nl} - 프리미엄 제스쳐 사용 가능",icon_item_token,,,,,,토큰:5일[증정용],0,0.0,0.0,0001,19,0.0
