$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Drops,Link_Recipes,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
201001,ColorSpray_1,Combine items into different ones,icon_item_small_bag,,,,Spray - Black,11,1.0,0.0,1111,6,1.0
201002,ColorSpray_2,Combine items into different ones,icon_item_small_bag,,,,Spray - Red,11,1.0,0.0,1111,6,1.0
201003,ColorSpray_3,Combine items into different ones,icon_item_small_bag,,,,Spray - White,11,1.0,0.0,1111,6,1.0
201004,ColorSpray_4,Combine items into different ones,icon_item_small_bag,,,,Spray - Orange,11,1.0,0.0,1111,6,1.0
201005,ColorSpray_5,Combine items into different ones,icon_item_small_bag,,,,Spray - Yellow,11,1.0,0.0,1111,6,1.0
201006,ColorSpray_6,Combine items into different ones,icon_item_small_bag,,,,Spray - Green,11,1.0,0.0,1111,6,1.0
300000,misc_collect_gimk_001,A red bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_007,"[{""$ID"": 642213, ""Name"": ""Collection: Sage Master's Bookmark"", ""Icon"": ""icon_item_box""}]",,,Sage Master's Red Bookmark,1,0.0,0.0,0001,15,1.0
300001,misc_collect_gimk_002,An orange bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_006,"[{""$ID"": 642213, ""Name"": ""Collection: Sage Master's Bookmark"", ""Icon"": ""icon_item_box""}]",,,Sage Master's Orange Bookmark,1,0.0,0.0,0001,15,1.0
300002,misc_collect_gimk_003,A yellow bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_001,"[{""$ID"": 642213, ""Name"": ""Collection: Sage Master's Bookmark"", ""Icon"": ""icon_item_box""}]",,,Sage Master's Yellow Bookmark,1,0.0,0.0,0001,15,1.0
300003,misc_collect_gimk_004,A green bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_002,"[{""$ID"": 642213, ""Name"": ""Collection: Sage Master's Bookmark"", ""Icon"": ""icon_item_box""}]",,,Sage Master's Green Bookmark,1,0.0,0.0,0001,15,1.0
