$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,Right-click to use and obtain of the following random items.{nl}- EXP Tome x1{nl} - Multiply Token x2{nl} - Megaphone x1{nl} - Enchant Scroll (untradable) x1{nl} - Warp Scroll x8{nl} - Soul Crystal x8{nl} - Emergency Repair Kit x3,icon_item_random_cashbox,,,,,,,[PP] TP Item Random Box,0,0.0,0.0,0001,5,5.0
640404,Ghaca_PC_Misc,Right-click to use and obtain a random item.,icon_item_pc_miscbox,,,,,,,[PP] Ore Box,0,0.0,0.0,0001,5,5.0
640407,Ghaca_PC_Discount_Ticket,Right-click to use and obtain of the following random items.{nl} - [PP] Hair Dye 50% OFF Coupon{nl} - [PP] FREE Hair Dye Coupon{nl} - [PP] Hair 50% OFF Coupon{nl} - [PP] FREE Hair Coupon,icon_item_random_cashbox,,,,,,,[PP] Beauty Shop Coupon Box,0,0.0,0.0,0001,5,5.0
640408,Ghaca_PC_Event_Csoume01,Right-click to use and select of the following items: Black Maid Costume (Female) or Black Butler Costume (Male),icon_item_box_pc_basic,,,,,,,[PP] Buttler & Maid Costume Box,0,0.0,0.0,0000,5,5.0
640409,Box_PC_Month,Right-click to use and obtain of the following items.{nl} - X8 EXP Tome (14 Days) x1{nl} - Instanced Dungeon Multiply Token x10{nl} - Goddess Statue (14 Days) x10{nl} - Miracle Seeds (14 Days) x10,icon_item_box_pc_month,,,,,,,[PP] Boost Pack,0,0.0,0.0,0001,5,5.0
642601,Gacha_F_001,It seems to contain something unknown. {nl}Right-click to use.,icon_item_cube3,,,,"[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 57500, ""Url"": ""monsters"", ""Name"": ""Abomination"", ""Icon"": ""fd_boss_abomination""}}]",,,Abomination Cube,0,0.0,0.0,0000,5,5.0
642602,Gacha_F_002,It seems to contain something unknown. {nl}Right-click to use.,icon_item_cube3,,,,,,,(Old) Obscene Deathweaver Cube,0,0.0,0.0,0000,5,5.0
642603,Gacha_F_003,It seems to contain something unknown. {nl}Right-click to use.,icon_item_cube3,,,,,,,(Old) Bleak Chapparition Cube,0,0.0,0.0,0000,5,5.0
642604,Gacha_F_004,It seems to contain something unknown. {nl}Right-click to use.,icon_item_cube3,,,,"[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 57477, ""Url"": ""monsters"", ""Name"": ""Earth Templeshooter"", ""Icon"": ""boss_templeshooter""}}]",,,Earth Templeshooter Cube,0,0.0,0.0,0000,5,5.0
642605,Gacha_F_005,It seems to contain something unknown. {nl}Right-click to use.,icon_item_cube3,,,,"[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 57478, ""Url"": ""monsters"", ""Name"": ""Earth Canceril"", ""Icon"": ""boss_canceril""}}]",,,Earth Canceril Cube,0,0.0,0.0,0000,5,5.0
