$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.{nl}보상 목록{nl}- 경험의 서 x1{nl} - 인스턴스 던전 배수 토큰 x2{nl}- 확성기 x1{nl}- 마법 부여 스크롤(거래불가) x1{nl}- 워프 주문서 x8{nl}- 소울 크리스탈 x4{nl}- 긴급 수리 키트 x3,icon_item_random_cashbox,,,,,,,,,[PC방] TP 아이템 랜덤 상자,0,0.0,0.0,FFFT,6,5.0
640404,Ghaca_PC_Misc,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.,icon_item_pc_miscbox,,,,,,,,,[PC방] 광물 상자,0,0.0,0.0,FFFT,6,5.0
640407,Ghaca_PC_Discount_Ticket,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.{nl}보상 목록{nl} - [PC방] 염색 1회 50% 할인권{nl} - [PC방] 염색 1회 무료 이용권{nl} - [PC방] 헤어 1회 50% 할인권{nl} - [PC방] 헤어 1회 무료 이용권,icon_item_random_cashbox,,,,,,,,,[PC방] 뷰티샵 할인 쿠폰 상자,0,0.0,0.0,FFFT,6,5.0
640408,Ghaca_PC_Event_Csoume01,마우스 우클릭으로 사용 할 수 있습니다. 사용시 블랙 메이드 코스튬(여) / 블랙 버틀러 코스튬(남) 중 1개를 획득 할 수 있습니다.,icon_item_box_pc_basic,,,,,,,,,[PC방] 버틀러와 메이드 코스튬 선택 상자,0,0.0,0.0,FFFF,6,5.0
640409,Box_PC_Month,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템을 얻을 수 있습니다.{nl}보상 목록 {nl} - x8 경험의 서(14일) x 1{nl} - 인스턴스 던전 배수 토큰 x 10{nl} - 여신의 조각상(14일) x 10{nl} - 축복이 깃든 씨앗(14일)  x 10,icon_item_box_pc_month,,,,,,,,,[PC방] 성장 지원 상자,0,0.0,0.0,FFFT,6,5.0
640414,Gm_Ty_Box,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템및 버프를 얻을 수 있습니다. {nl}보상 아이템{nl} - 10TP[증정용] x1{nl}보상 버프 {nl} - 레드옥스(30분) {nl} - 이동속도 증가 - 이벤트(30분) {nl} - 주변 HP 회복 - 이벤트(30분) {nl} - 주변 SP 회복 - 이벤트(30분),icon_item_giftbox_4,,,,,,,,,GM의 감사 박스,0,0.0,0.0,FFFT,6,0.0
640415,Gm_Sy_Box,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템및 버프를 얻을 수 있습니다. {nl}보상 아이템{nl} - 10TP[증정용] x1{nl}보상 버프 {nl} - 레드옥스(30분) {nl} - 이동속도 증가 - 이벤트(30분) {nl} - 주변 HP 회복 - 이벤트(30분) {nl} - 주변 SP 회복 - 이벤트(30분),icon_item_giftbox_4,,,,,,,,,GM의 사과 박스,0,0.0,0.0,FFFT,6,0.0
640416,Ghaca_PC_Event_Csoume02,마우스 우클릭으로 사용 할 수 있습니다. 사용시 붉은 뱀파이어 코스튬(남) / 붉은 뱀파이어 코스튬(여) 중 1개를 획득 할 수 있습니다.{nl} - 10월 4일 점검 이후부터 사용 가능합니다.,icon_item_box_pc_basic,,,,,,,,,[PC방] 붉은 뱀파이어 코스튬 선택 상자,0,0.0,0.0,FFFF,6,5.0
640442,Ghaca_PC_Event_Csoume03,마우스 우클릭으로 사용 할 수 있습니다. 사용시 붉은 겨울밤 코스튬(남) / 붉은 겨울밤 코스튬(여) 중 1개를 획득 할 수 있습니다.,icon_item_box_pc_basic,,,,,,,,,[PC방] 붉은 겨울밤 코스튬 선택 상자,0,0.0,0.0,FFFF,6,5.0
640443,Attendance_Sausis_SelectBox,사용 시 리스트 중 원하시는 장비가 지급됩니다.{nl} {nl} 악세사리 리스트{nl} - 네파그리타스 네클리스{nl} - 네메트마스 네클리스{nl} - 랜고베스 네클리스{nl} - 네파그리타스 브레이슬릿 {nl} - 네메트마스 브레이슬릿 {nl} - 랜고배스 브레이슬릿,icon_item_giftbox_4,,,,,,,,,환상 도서관: 사우시스 9관 악세사리 선택 상자,0,0.0,0.0,FFFF,6,5.0
