$ID,$ID_NAME,Icon,Name
11,barrack,,숙소
12,barrack_2,,파이로맨서 룸
13,barrack_noble,,연회장
14,barrack4,,주점
15,opening_zone_1,,오프닝 존
16,track_underfortress_59_2,,라이마 연출
17,guild_agit_1,,길드 아지트
18,guild_mission_1,,길드 미션
19,login,,로그인 화면
100,test_zone2,,테스트2
101,test_zone,,테스트존
102,black_zone,,블랙존
103,boss_zone,,보스 존
104,test_qa,,테스트존 화이트
105,test_blue,,테스트존 블루
108,test_material,,테스트존 메테리얼
109,d_velniasprison_trackzone,,연출용
110,guildhouse,,길드 아지트
111,mission_test,,미션_테스트
112,minigame_zone,,미니게임 존
113,onehour_test1,,1시간별 미션 테스트1
114,mission_test2,,미션_테스트2
116,mission_flag,,깃발뺏기
501,raid_siauliai1,,샤울레이 레이드
502,onehour_cmine1,,수정광산 레이드
503,id_catacomb_03,,카타콤 레이드
504,raid_thorn1,,가시숲 레이드
505,mission_rokas_01,,협곡지대 미션
506,mission_zachariel_01,,왕릉 미션
507,mission_remains_01,,무너진 저택가
508,mission_firetower_01,,마법사의 탑 미션
509,mission_chaple_01,,성당 미션
510,mission_huevillage_01,,칠채곡 미션
511,mission_gele_01,,겔리고원 미션
512,mission_godnessdefence,,여신상 수호
513,id_catacomb_03_event,,할로윈 이벤트
514,f_gele_kepa_event,,케파 군단
515,d_prison_62_1_event,,아샤크 지하 감옥
517,mission_gele_01_event,,칼날서약 용병단의 능력 증명
520,mission_groundtower_1,,대지의 탑 롤로팬서 구간
521,mission_groundtower_2,,대지의 탑 솔미키 구간
523,c_firemage_event,,연구실
527,VIVID_c_Klaipe,,비비드 클라페다
528,VIVID_c_orsha,,비비드 오르샤
529,VIVID_c_fedimian,,비비드 페디미안
700,f_pilgrimroad_41_1_event,,괴도 트팡 이벤트
701,c_highlander_event,,하이랜더 마스터의 도장[이벤트]
702,f_playground,,천하제일 축구장
703,f_huevillage_58_1_event,,[이벤트]베야 골짜기
704,f_coral_44_2_event,,[이벤트]아이테오 해안
981,c_fedimian,,페디미안
1001,c_Klaipe,,클라페다
1002,c_highlander,,하이랜더 마스터의 도장
1003,c_voodoo,,보코르 마스터의 집
1004,c_firemage,,파이로맨서 마스터의 연구실
1005,c_request_1,,건물 내부
1006,c_orsha,,오르샤
1007,c_nunnery,,살러스 수녀원
1008,c_barber_dress,,뷰티샵
1021,f_siauliai_west,,샤울레이 서쪽 숲
1031,f_siauliai_est,,미사용-샤울레이 동쪽 숲-past
1032,f_siauliai_2,,샤울레이 동쪽 숲
1041,f_siauliai_out,,샤울레이 광산 마을
1051,d_cmine_01,,수정광산 1층
1061,d_cmine_02,,수정광산 2층
1071,d_cmine_6,,수정광산 3층
1081,f_katyn_7,,카틴 숲 입구
1082,f_katyn_7_2,,매너클 묘지
1091,d_cmine_8,,수정광산 2광구 1층
1101,d_cmine_9,,수정광산 2광구 2층
1111,f_katyn_10,,카롤리스 샘터
1121,f_siauliai_11,,f_siauliai_11
1122,f_siauliai_11_re,,파우피스 나루
1131,f_katyn_12,,레타스 개울가
1141,f_katyn_13,,포슬린키스 숲
1142,f_katyn_13_2,,밀실
1143,f_katyn_13_3,,화살길
1151,f_katyn_14,,사크니스 벌판
1161,f_siauliai_15,,f_siauliai_15
1162,f_siauliai_15_re,,덧댄다리 숲
1171,f_siauliai_16,,렘파라사 연못
1172,f_siauliai_46_1,,봄볕나무 숲
1173,f_siauliai_46_2,,우키스 경작지
1174,f_siauliai_46_3,,빌나 숲
1175,f_siauliai_46_4,,다이나 양봉지
1176,f_siauliai_47_4,,아렐르노 남작령
1180,f_siauliai_50_1,,기티스의 개척지
1181,f_katyn_17,,칼빛 분지
1191,f_katyn_18,,쿨레 고개
1201,d_thorn_19,,관문로
1211,d_thorn_20,,시르드겔라 숲
1221,d_thorn_21,,크바일라스 숲
1231,d_thorn_22,,드바시아 고개
1241,d_thorn_23,,해진깃발숲
1251,f_rokas_24,,대왕의 관문
1261,f_rokas_25,,람스티스 협곡
1271,f_rokas_26,,긴다리 계곡
1281,f_rokas_27,,아크멘스 능선
1291,f_rokas_28,,틸타스 협곡
1301,f_rokas_29,,루카스 고원
1311,f_rokas_30,,왕의 고원
1321,f_rokas_31,,자카리엘 교차로
1331,d_zachariel_32,,왕릉 1층
1341,d_zachariel_33,,왕릉 2층
1351,d_zachariel_34,,왕릉 3층
1361,d_zachariel_35,,왕릉 4층
1371,d_zachariel_36,,왕릉 5층
1381,id_catacomb_01,,파수꾼의 묘역
1391,id_catacomb_02,,발류스의 영면지
1411,id_catacomb_04,,리티니스 지하묘
1421,f_remains_37,,비석로
1431,f_remains_38,,여신의 옛뜰
1441,f_remains_39,,에산치우 마을
1451,f_remains_40,,페디미안 외곽
1461,d_firetower_41,,마법사의 탑 1층
1471,d_firetower_42,,마법사의 탑 2층
1481,d_firetower_43,,마법사의 탑 3층
1491,d_firetower_44,,마법사의 탑 4층
1501,d_firetower_45,,마법사의 탑 5층
1511,f_pilgrimroad_46,,큰아귀 길
1521,f_pilgrimroad_47,,필그림 들길
1531,f_pilgrimroad_48,,마나하스
1541,f_pilgrimroad_49,,게나르 평원
1542,f_pilgrimroad_31_1,,페레토리 구릉
