$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642001,COLLECT_101,"[[""INT"", 1], [""STR"", 1]]",우물 속에서 발견된 낡은 유품입니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_box,,,"[645151, 645228, 645229, 645403, 645451, 645461]",,,,몬스터 표본 세트,1,0.0,0.0,0010,4,0.0
642002,COLLECT_102,"[[""STR"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645268, 649001, 649002, 649003, 649006]",,,,광석 컬렉션,1,0.0,0.0,0010,4,0.0
642003,COLLECT_103,"[[""CON"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645024, 645379, 645461]",,,,꽃 컬렉션,1,0.0,0.0,0010,4,0.0
642004,COLLECT_104,"[[""INT"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645267, 645333, 645364, 645435]",,,,뼈 컬렉션,1,0.0,0.0,0010,4,0.0
642005,COLLECT_105,"[[""SPR"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645162, 645292, 645439]",,,,수정 컬렉션,1,0.0,0.0,0010,4,0.0
642006,COLLECT_106,"[[""DEX"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645401, 645410, 645411, 645428, 645450]",,,,왕릉 컬렉션,1,0.0,0.0,0010,4,0.0
642007,COLLECT_107,"[[""Critical Attack"", 10]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645194, 645419, 645454, 645455]",,,,코카트리스 컬렉션,1,0.0,0.0,0010,4,0.0
642008,COLLECT_108,"[[""Magic Defense"", 10]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645130, 645142, 645192, 645197, 645221, 645421]",,,,악마 컬렉션,1,0.0,0.0,0010,4,0.0
642009,COLLECT_109,"[[""INT"", 1], [""STR"", 1]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645142, 645320, 645334, 645430, 645453]",,,,테넷 성당 컬렉션,1,0.0,0.0,0010,4,0.0
642010,COLLECT_110,"[[""Defense"", 4]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645193, 645348, 645400]",,,,유령 컬렉션,1,0.0,0.0,0010,4,0.0
642011,COLLECT_111,"[[""Dark Property Resistance"", 8]]",아이템을 수집할 수 있는 컬렉션입니다. 마법협회 NPC의 컬렉션창에서 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[644009, 644042, 644043, 644067]",,,,LV1 카드 컬렉션,1,0.0,0.0,0010,4,0.0
