$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.{nl}보상 목록{nl}- 경험의 서 x1{nl} - 인스턴스 던전 배수 토큰 x2{nl}- 확성기 x1{nl}- 마법 부여 스크롤(거래불가) x1{nl}- 워프 주문서 x8{nl}- 소울 크리스탈 x4{nl}- 긴급 수리 키트 x3,icon_item_random_cashbox,,,,,,,[PC방] TP 아이템 랜덤 상자,0,0.0,0.0,0001,5,5.0
640404,Ghaca_PC_Misc,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.,icon_item_pc_miscbox,,,,,,,[PC방] 광물 상자,0,0.0,0.0,0001,5,5.0
640407,Ghaca_PC_Discount_Ticket,마우스 우클릭으로 사용 할 수 있습니다. 사용시 랜덤한 아이템을 얻을 수 있습니다.{nl}보상 목록{nl} - [PC방] 염색 1회 50% 할인권{nl} - [PC방] 염색 1회 무료 이용권{nl} - [PC방] 헤어 1회 50% 할인권{nl} - [PC방] 헤어 1회 무료 이용권,icon_item_random_cashbox,,,,,,,[PC방] 뷰티샵 할인 쿠폰 상자,0,0.0,0.0,0001,5,5.0
640408,Ghaca_PC_Event_Csoume01,마우스 우클릭으로 사용 할 수 있습니다. 사용시 블랙 메이드 코스튬(여) / 블랙 버틀러 코스튬(남) 중 1개를 획득 할 수 있습니다.,icon_item_box_pc_basic,,,,,,,[PC방] 버틀러와 메이드 코스튬 선택 상자,0,0.0,0.0,0000,5,5.0
640409,Box_PC_Month,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템을 얻을 수 있습니다.{nl}보상 목록 {nl} - x8 경험의 서(14일) x 1{nl} - 인스턴스 던전 배수 토큰 x 10{nl} - 여신의 조각상(14일) x 10{nl} - 축복이 깃든 씨앗(14일)  x 10,icon_item_box_pc_month,,,,,,,[PC방] 성장 지원 상자,0,0.0,0.0,0001,5,5.0
640414,Gm_Ty_Box,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템및 버프를 얻을 수 있습니다. {nl}보상 아이템{nl} - 10TP[증정용] x1{nl}보상 버프 {nl} - 레드옥스(30분) {nl} - 이동속도 증가 - 이벤트(30분) {nl} - 주변 HP 회복 - 이벤트(30분) {nl} - 주변 SP 회복 - 이벤트(30분),icon_item_giftbox_4,,,,,,,GM의 감사 박스,0,0.0,0.0,0001,5,0.0
640415,Gm_Sy_Box,마우스 우클릭으로 사용 할 수 있습니다. 사용시 아이템및 버프를 얻을 수 있습니다. {nl}보상 아이템{nl} - 10TP[증정용] x1{nl}보상 버프 {nl} - 레드옥스(30분) {nl} - 이동속도 증가 - 이벤트(30분) {nl} - 주변 HP 회복 - 이벤트(30분) {nl} - 주변 SP 회복 - 이벤트(30분),icon_item_giftbox_4,,,,,,,GM의 사과 박스,0,0.0,0.0,0001,5,0.0
640416,Ghaca_PC_Event_Csoume02,마우스 우클릭으로 사용 할 수 있습니다. 사용시 붉은 뱀파이어 코스튬(남) / 붉은 뱀파이어 코스튬(여) 중 1개를 획득 할 수 있습니다.{nl} - 10월 4일 점검 이후부터 사용 가능합니다.,icon_item_box_pc_basic,,,,,,,[PC방] 붉은 뱀파이어 코스튬 선택 상자,0,0.0,0.0,0000,5,5.0
642601,Gacha_F_001,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,어보미네이션의 큐브,0,0.0,0.0,0000,5,5.0
642602,Gacha_F_002,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 역겨운 데스위버의 큐브,0,0.0,0.0,0000,5,5.0
642603,Gacha_F_003,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 음산한 채퍼리션의 큐브,0,0.0,0.0,0000,5,5.0
642604,Gacha_F_004,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,대지의 템플슈터의 큐브,0,0.0,0.0,0000,5,5.0
642605,Gacha_F_005,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,대지의 캔서릴의 큐브,0,0.0,0.0,0000,5,5.0
642606,Gacha_F_006,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,대지의 아콘의 큐브,0,0.0,0.0,0000,5,5.0
642607,Gacha_F_007,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 격렬한 켈베로스의 큐브,0,0.0,0.0,0000,5,5.0
642608,Gacha_F_008,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 요란한 마인로더의 큐브,0,0.0,0.0,0000,5,5.0
642609,Gacha_F_009,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,큐바스의 큐브,0,0.0,0.0,0000,5,5.0
642610,Gacha_F_010,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,네크로벤터의 큐브,0,0.0,0.0,0000,5,5.0
642611,Gacha_F_011,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 불타오르는 파이어로드의 큐브,0,0.0,0.0,0000,5,5.0
642612,Gacha_F_012,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 분노에 차오른 하르피아의 큐브,0,0.0,0.0,0000,5,5.0
642613,Gacha_F_013,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,글락쿠만의 큐브,0,0.0,0.0,0000,5,5.0
642614,Gacha_F_014,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,마리오네트의 큐브,0,0.0,0.0,0000,5,5.0
642615,Gacha_F_015,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,듀라한의 큐브,0,0.0,0.0,0000,5,5.0
642616,Gacha_F_016,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,(구) 엘라가노스의 큐브,0,0.0,0.0,0000,5,5.0
642617,Gacha_F_017,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,감옥 관리자 프리즌커터의 큐브,0,0.0,0.0,0000,5,5.0
642618,Gacha_F_018,사용하면 무언가 알 수 없는 것을 획득할 수 있을 것 같습니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_cube3,,,,,,,굶주려있는 벨니아몽키의 큐브,0,0.0,0.0,0000,5,5.0
